date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:35	24555/24555	---M--	200	added ('OK')	image/png	etag:%225feb-6874d87e-d6f647698b77cf3;;;%22	https://html.themexriver.com/forgex/assets/img/testimonial/t1-img-2.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/testimonial/t1-img-2.png	(from https://html.themexriver.com/forgex/index.html)
10:08:35	22767/22767	---M--	200	added ('OK')	image/png	etag:%2258ef-6874d87e-a2324682065dd54b;;;%22	https://html.themexriver.com/forgex/assets/img/testimonial/t1-img-3.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/testimonial/t1-img-3.png	(from https://html.themexriver.com/forgex/index.html)
10:08:35	345149/345149	---M--	200	added ('OK')	image/png	etag:%225443d-6874d87e-fca420ff4fba773a;;;%22	https://html.themexriver.com/forgex/assets/img/blog/b1-img-1.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/blog/b1-img-1.png	(from https://html.themexriver.com/forgex/index.html)
10:08:35	181222/181222	---M--	200	added ('OK')	image/png	etag:%222c3e6-6874d87e-808697babeb688d8;;;%22	https://html.themexriver.com/forgex/assets/img/blog/b1-img-2.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/blog/b1-img-2.png	(from https://html.themexriver.com/forgex/index.html)
10:08:36	274036/274036	---M--	200	added ('OK')	image/png	etag:%2242e74-6874d87e-52f4b60a80fdba12;;;%22	https://html.themexriver.com/forgex/assets/img/blog/b1-img-3.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/blog/b1-img-3.png	(from https://html.themexriver.com/forgex/index.html)
10:08:36	8688/8688	---M--	200	added ('OK')	image/png	etag:%2221f0-6874d87e-18d096adccaf466d;;;%22	https://html.themexriver.com/forgex/assets/img/blog/b1-bg-shape-1.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/blog/b1-bg-shape-1.png	(from https://html.themexriver.com/forgex/index.html)
10:08:36	199571/199571	---M--	200	added ('OK')	image/png	etag:%2230b93-6874d87e-1a159a090e8d372f;;;%22	https://html.themexriver.com/forgex/assets/img/contact/c1-img-1.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/contact/c1-img-1.png	(from https://html.themexriver.com/forgex/index.html)
10:08:36	40554/40554	---M--	200	added ('OK')	image/png	etag:%229e6a-6874d87e-12da5dc84fca307c;;;%22	https://html.themexriver.com/forgex/assets/img/cta/cta-img-1.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/cta/cta-img-1.png	(from https://html.themexriver.com/forgex/index.html)
10:08:37	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-a715ba4a0a407933;gz%22	https://html.themexriver.com/forgex/contact-us.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/contact-us.html	(from https://html.themexriver.com/forgex/index.html)
10:08:37	87535/87535	---M-Z	200	added ('OK')	application/x-javascript	etag:%22155ef-6874d87e-e147ea80fbe2c022;gz%22	https://html.themexriver.com/forgex/assets/js/jquery-3.7.1.min.js	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/js/jquery-3.7.1.min.js	(from https://html.themexriver.com/forgex/index.html)
